Name,Category,ProductCode_เดิม,รหัสที่สกัดได้,Supplier(P-xx),ชั้นราคา,พบจาก,ตรงแคตตาล็อก,สถานะ
**ไม่ใช้งานแล้ว**,,,,,,,,เลิกใช้งาน
**ไม่ใช้งานแล้ว**,,,,,,,,เลิกใช้งาน
กล่องพลาสติกใส สำหรับใส่การ์ด,แฟลชไดร์ฟ,,,,,,,วัสดุแพ็กเกจ
กล่องเหล็ก,Flash Drive,,,,,,,วัสดุแพ็กเกจ
แฟลชไดร์ฟ USB 2.0 แบบการ์ด 444 ความจุ 8GB,แฟลชไดร์ฟ การ์ด,,444,,,เลขรุ่นในชื่อ,,มีรหัส แต่ไม่อยู่ในแคตตาล็อกใบราคา
กล่องไม้,,,,,,,,วัสดุแพ็กเกจ
แฟลชไดร์ฟ USB 2.0 แบบการ์ด 445 ความจุ 4GB,แฟลชไดร์ฟ การ์ด,,445,,,เลขรุ่นในชื่อ,,มีรหัส แต่ไม่อยู่ในแคตตาล็อกใบราคา
ขวดน้ำสูญญากาศ: เก็บอุณภูมิร้อน เย็น บอกอุณหภูมิ ขนาด 500 ML,,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
ปลั๊กชาร์จ usb พร้อมสาย Type-C พร้อมสกรีนโลโก้ 1 สี 1 ตำแหน่งที่ปลั๊ก,Other,,,,,,,บริการ/ค่าใช้จ่าย ไม่ใช่สินค้า
สกรีนโลโก้ UV print  1 ตำแหน่ง,,,,,,,,บริการ/ค่าใช้จ่าย ไม่ใช่สินค้า
แฟลชไดร์ฟ คิงสตัน DTX USB 3.2 ความจุ 32GB,แฟลชไดร์ฟ,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบพลาสติก ความจุ 4GB,,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
USB Flash drive พลาสติก แบบเปลือย,,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
เครื่องนวดคอ,Gift Set,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบการ์ด 445 ความจุ 2 GB,,,445,,,เลขรุ่นในชื่อ,,มีรหัส แต่ไม่อยู่ในแคตตาล็อกใบราคา
กล่องกระดาษสีขาว P-19 ฝาแยก ขนาด 120*85*26 mm,Flash Drive,,,,,,,วัสดุแพ็กเกจ
ชุดของขวัญในกล่องพรีเมี่ยม 6 ชิ้นพร้อมสกรีน Model : MC00-1,Gift Set,,MC00-1,,,code เปล่า,MC00-1,ตรงแคตตาล็อก (set)
สาย USB 3 in1,,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
กล่องพลาสติก,Flash Drive,,,,,,,วัสดุแพ็กเกจ
ปลอกกระดาษสวมกล่อง,Flash Drive,,,,,,,วัสดุแพ็กเกจ
บันทึกข้อมูล แบบลบได้  ( สามารถใช้ได้ปรกติทั่วไป ลบ หรือ copy ข้อมูลจา,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
บันทึกข้อมูล แบบล็อก  ( สามารถใช้ได้ปรกติทั่วไป ไม่สามารถลบข้อมูลออกจา,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
บันทึกข้อมูล แบบล็อก และป้องกันการ copy  (ไม่สามารถลบข้อมูลออกจากแฟลชไ,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 3.0 แบบเหล็ก,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบพลาสติก,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบการ์ด,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบไม้,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบเหล็ก,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบขึ้นโมล์ด,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบสายรัดข้อมือ,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบคริสตัล,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบปากกา,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 2.0 แบบหนัง,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ OTG USB 2.0,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ USB 3.0 แบบขึ้นโมล์ด,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
แฟลชไดร์ฟ OTG USB 3.0,Flash Drive,,,,,,,สินค้า ไม่มีรหัส — ต้องออกรหัส
ชุดของขวัญในกล่องพรีเมี่ยม 2 ชิ้นพร้อมสกรีน Model : VC-002,Gift Set,,,,,,,บริการ/ค่าใช้จ่าย ไม่ใช่สินค้า
Vacuum jug+เครื่องนวดคอ THB03-2(P-20),Gift Set,THB03-2(P-20)-100,THB03-2,P-20,100,ProductCode,THB03-2,ตรงแคตตาล็อก (set)
Vacuum jug+เครื่องนวดคอ THB03-2(P-20),Gift Set,THB03-2(P-20)-50,THB03-2,P-20,50,ProductCode,THB03-2,ตรงแคตตาล็อก (set)
Vacuum jug+เครื่องนวดคอ THB03-2(P-20),Gift Set,THB03-2(P-20)-10,THB03-2,P-20,10,ProductCode,THB03-2,ตรงแคตตาล็อก (set)
Vacuum jug+เครื่องนวดคอ THB03-2(P-20),Gift Set,THB03-2(P-20)-500,THB03-2,P-20,500,ProductCode,THB03-2,ตรงแคตตาล็อก (set)
Vacuum jug+เครื่องนวดคอ THB03-2(P-20),Gift Set,THB03-2(P-20)-20,THB03-2,P-20,20,ProductCode,THB03-2,ตรงแคตตาล็อก (set)
ขวดน้ำสูญญากาศ + เครื่องนวดคอ TBG03-2(P-2D),Gift Set,TBG03-2(P-2D)-10,TBG03-2,P-2D,10,ProductCode,,มีรหัส แต่ไม่อยู่ในแคตตาล็อกใบราคา
ขวดน้ำสูญญากาศ + เครื่องนวดคอ TBG03-2(P-2D),Gift Set,TBG03-2(P-2D)-100,TBG03-2,P-2D,100,ProductCode,,มีรหัส แต่ไม่อยู่ในแคตตาล็อกใบราคา
